tugas,tugas_label,sel,metode,medium,n,akurasi,akurasi_ci_lo,akurasi_ci_hi,format_rate,token_keluaran,token_per_soal,token_masukan,n_panggilan,waktu_total_s,detik_per_soal,laju_korupsi_token,n_jawaban_ber_cjk,berkas
arc_challenge,ARC-C,gumbel/kv,gumbel,kv,100,0.91,0.85,0.96,0.98,15445.0,154.4,21379.0,100.0,1591.7,15.9,0.01,1.0,bench_arc_challenge_gumbel_kv_s0.json
arc_challenge,ARC-C,moi/kv,moi,kv,100,0.91,0.85,0.96,0.98,14501.0,145.0,21379.0,100.0,1531.5,15.3,0.0,0.0,bench_arc_challenge_moi_kv_s0.json
arc_challenge,ARC-C,raw/baseline,raw,baseline,100,0.91,0.85,0.96,1.0,27113.0,271.1,22379.0,100.0,2027.8,20.3,0.0,0.0,bench_arc_challenge_raw_baseline_s0.json
arc_challenge,ARC-C,raw/kv,raw,kv,100,0.89,0.83,0.95,1.0,21936.0,219.4,21379.0,100.0,2057.9,20.6,0.03,3.0,bench_arc_challenge_raw_kv_s0.json
arc_challenge,ARC-C,raw/text,raw,text,100,0.93,0.88,0.98,1.0,108099.0,1081.0,203501.0,400.0,7595.7,76.0,0.0,0.0,bench_arc_challenge_raw_text_s0.json
arc_challenge,ARC-C,sample/kv,sample,kv,100,0.94,0.89,0.98,1.0,14577.0,145.8,21379.0,100.0,1325.9,13.3,0.0,0.0,bench_arc_challenge_sample_kv_s0.json
arc_challenge,ARC-C,soft/kv,soft,kv,100,0.94,0.89,0.98,1.0,15413.0,154.1,21379.0,100.0,1400.1,14.0,0.01,1.0,bench_arc_challenge_soft_kv_s0.json
gsm8k,GSM8K,gumbel/kv,gumbel,kv,100,0.91,0.85,0.96,1.0,19704.0,197.0,18508.0,100.0,2814.5,28.1,0.0,0.0,bench_gsm8k_gumbel_kv_s0.json
gsm8k,GSM8K,moi/kv,moi,kv,100,0.92,0.86,0.97,1.0,18979.0,189.8,18508.0,100.0,1585.4,15.9,0.01,1.0,bench_gsm8k_moi_kv_s0.json
gsm8k,GSM8K,raw/baseline,raw,baseline,100,0.92,0.86,0.97,1.0,,,,,1569.9,15.699000000000002,,,bench_gsm8k_raw_baseline_s0.json
gsm8k,GSM8K,raw/kv,raw,kv,100,0.83,0.75,0.9,0.98,21148.0,211.5,18508.0,100.0,1971.8,19.7,0.02,2.0,bench_gsm8k_raw_kv_s0.json
gsm8k,GSM8K,raw/text,raw,text,100,0.9,0.84,0.95,1.0,84471.0,844.7,182240.0,400.0,4919.1,49.2,0.0,0.0,bench_gsm8k_raw_text_s0.json
gsm8k,GSM8K,sample/kv,sample,kv,100,0.86,0.79,0.92,0.97,18736.0,187.4,18508.0,100.0,1645.9,16.5,0.0,0.0,bench_gsm8k_sample_kv_s0.json
gsm8k,GSM8K,soft/kv,soft,kv,100,0.88,0.81,0.94,1.0,19233.0,192.3,18508.0,100.0,1447.3,14.5,0.0,0.0,bench_gsm8k_soft_kv_s0.json
humanevalplus,HumanEval+,gumbel/kv,gumbel,kv,100,0.71,0.62,0.8,0.97,13109.0,131.1,33876.0,100.0,1492.2,14.9,0.0,0.0,bench_humanevalplus_gumbel_kv_s0.json
humanevalplus,HumanEval+,moi/kv,moi,kv,100,0.72,0.63,0.81,1.0,12156.0,121.6,33876.0,100.0,1407.6,14.1,0.0,0.0,bench_humanevalplus_moi_kv_s0.json
humanevalplus,HumanEval+,raw/baseline,raw,baseline,100,0.72,0.63,0.8,1.0,12228.0,122.3,34876.0,100.0,1085.8,10.9,0.0,0.0,bench_humanevalplus_raw_baseline_s0.json
humanevalplus,HumanEval+,raw/kv,raw,kv,100,0.42,0.32,0.52,1.0,17681.0,176.8,33876.0,100.0,1782.8,17.8,0.01,1.0,bench_humanevalplus_raw_kv_s0.json
humanevalplus,HumanEval+,raw/text,raw,text,100,0.76,0.68,0.84,1.0,99720.0,997.2,279393.0,400.0,6925.1,69.3,0.0,0.0,bench_humanevalplus_raw_text_s0.json
humanevalplus,HumanEval+,sample/kv,sample,kv,100,0.74,0.65,0.82,1.0,12600.0,126.0,33876.0,100.0,1241.1,12.4,0.0,0.0,bench_humanevalplus_sample_kv_s0.json
humanevalplus,HumanEval+,soft/kv,soft,kv,100,0.69,0.6,0.78,0.96,12150.0,121.5,33876.0,100.0,1141.5,11.4,0.0,0.0,bench_humanevalplus_soft_kv_s0.json
