tugas,tugas_label,a,b,akurasi_a,akurasi_b,delta,ci_lo,ci_hi,n_a_saja,n_b_saja,p_mcnemar,delta_format,p_format,p_holm,p_bh
arc_challenge,ARC-C,raw/kv,sample/kv,0.89,0.94,-0.04999999999999993,-0.1,-0.01,0,5,0.0625,0.0,1.0,1.0,0.4375
arc_challenge,ARC-C,raw/kv,soft/kv,0.89,0.94,-0.04999999999999993,-0.1,0.0,1,6,0.125,0.0,1.0,1.0,0.7159090909090909
arc_challenge,ARC-C,raw/kv,raw/text,0.89,0.93,-0.040000000000000036,-0.09,0.0,1,5,0.21875,0.0,1.0,1.0,0.8624482154846191
arc_challenge,ARC-C,gumbel/kv,sample/kv,0.91,0.94,-0.029999999999999916,-0.08,0.01,1,4,0.375,-0.020000000000000018,0.5,1.0,0.8624482154846191
arc_challenge,ARC-C,gumbel/kv,soft/kv,0.91,0.94,-0.029999999999999916,-0.08,0.01,1,4,0.375,-0.020000000000000018,0.5,1.0,0.8624482154846191
arc_challenge,ARC-C,moi/kv,sample/kv,0.91,0.94,-0.029999999999999916,-0.07024999999999978,0.01,1,4,0.375,-0.020000000000000018,0.5,1.0,0.8624482154846191
arc_challenge,ARC-C,moi/kv,soft/kv,0.91,0.94,-0.029999999999999916,-0.08,0.01,1,4,0.375,-0.020000000000000018,0.5,1.0,0.8624482154846191
arc_challenge,ARC-C,raw/baseline,sample/kv,0.91,0.94,-0.029999999999999916,-0.07,0.01,1,4,0.375,0.0,1.0,1.0,0.8624482154846191
arc_challenge,ARC-C,raw/baseline,soft/kv,0.91,0.94,-0.029999999999999916,-0.08,0.01,1,4,0.375,0.0,1.0,1.0,0.8624482154846191
arc_challenge,ARC-C,raw/baseline,raw/text,0.91,0.93,-0.020000000000000018,-0.06,0.02,1,3,0.625,0.0,1.0,1.0,1.0
arc_challenge,ARC-C,moi/kv,raw/kv,0.91,0.89,0.020000000000000018,-0.03,0.07,4,2,0.6875,-0.020000000000000018,0.5,1.0,1.0
