kode,nama,tgl_catat,papan,sektor
AALI,Astra Agro Lestari Tbk.,9 Desember 1997,Utama,Consumer Non-Cyclicals
ABBA,Mahaka Media Tbk.,3 April 2002,Pemantauan Khusus,Consumer Cyclicals
ABDA,Asuransi Bina Dana Arta Tbk.,6 Juli 1989,Pemantauan Khusus,Financials
ABMM,ABM Investama Tbk.,6 Desember 2011,Utama,Energy
ACES,Aspirasi Hidup Indonesia Tbk.,6 November 2007,Utama,Consumer Cyclicals
ACRO,Samcro Hyosung Adilestari Tbk.,11 Januari 2024,Pengembangan,Consumer Cyclicals
ACST,Acset Indonusa Tbk.,24 Juni 2013,Pengembangan,Infrastructure
ADCP,Adhi Commuter Properti Tbk.,21 Mei 2021,Pengembangan,Properties & Real Estate
ADES,Akasha Wira International Tbk.,13 Juni 1994,Pengembangan,Consumer Non-Cyclicals
ADHI,Adhi Karya (Persero) Tbk.,18 Maret 2004,Utama,Infrastructure
ADMF,Adira Dinamika Multi Finance T,31 Maret 2004,Pengembangan,Financials
ADMG,Polychem Indonesia Tbk,20 Oktober 1993,Pengembangan,Basic Materials
ADMR,Alamtri Minerals Indonesia Tbk,3 Januari 2022,Utama,Energy
ADRO,Alamtri Resources Indonesia Tb,16 Juli 2008,Utama,Energy
AEGS,Anugerah Spareparts Sejahtera,11 September 2023,Akselerasi,Consumer Cyclicals
AGAR,Asia Sejahtera Mina Tbk.,2 Desember 2019,Pengembangan,Consumer Non-Cyclicals
AGII,Samator Indo Gas Tbk.,28 September 2016,Pengembangan,Basic Materials
AGRO,Bank Raya Indonesia Tbk.,8 Agustus 2003,Utama,Financials
AGRS,Bank IBK Indonesia Tbk.,22 Desember 2014,Pengembangan,Financials
AHAP,Asuransi Harta Aman Pratama Tbk.,14 September 1990,Pengembangan,Financials
AIMS,Artha Mahiya Investama Tbk.,20 Juli 2001,Pengembangan,Energy
AISA,FKS Food Sejahtera Tbk.,11 Juni 1997,Utama,Consumer Non-Cyclicals
AKKU,Anugerah Kagum Karya Utama Tbk,1 November 2004,Pemantauan Khusus,Consumer Cyclicals
AKPI,Argha Karya Prima Industry Tbk,18 Desember 1992,Pengembangan,Basic Materials
AKRA,AKR Corporindo Tbk.,3 Oktober 1994,Utama,Energy
AKSI,Mineral Sumberdaya Mandiri Tbk,13 Juli 2001,Pengembangan,Transportation & Logistics
ALDO,Alkindo Naratama Tbk.,12 Juli 2011,Pengembangan,Basic Materials
ALII,Ancara Logistics Indonesia Tbk,7 Februari 2024,Utama,Energy
ALKA,Alakasa Industrindo Tbk,12 Juli 1990,Pengembangan,Basic Materials
ALMI,Alumindo Light Metal Industry,2 Januari 1997,Pemantauan Khusus,Basic Materials
ALTO,Tri Banyan Tirta Tbk.,10 Juli 2012,Pemantauan Khusus,Consumer Non-Cyclicals
AMAG,Asuransi Multi Artha Guna Tbk.,23 Desember 2005,Pengembangan,Financials
AMAN,Makmur Berkah Amanda Tbk.,13 Maret 2020,Pengembangan,Properties & Real Estate
AMAR,Bank Amar Indonesia Tbk.,9 Januari 2020,Pengembangan,Financials
AMFG,Asahimas Flat Glass Tbk.,8 November 1995,Utama,Industrials
AMIN,Ateliers Mecaniques D Indonesi,10 Desember 2015,Pengembangan,Industrials
AMMN,Amman Mineral Internasional Tb,7 Juli 2023,Utama,Basic Materials
AMMS,Agung Menjangan Mas Tbk.,4 Agustus 2022,Akselerasi,Consumer Non-Cyclicals
AMOR,Ashmore Asset Management Indon,14 Januari 2020,Pengembangan,Financials
